Dataset,Model,Accuracy,F1 Score,Best Params,
Dataset_8,RandomForest,0.9997 ± 0.0005,0.9997 ± 0.0005,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_8,SVM,0.9718 ± 0.0042,0.8630 ± 0.1211,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_9,DecisionTree,0.9828 ± 0.0067,0.8586 ± 0.0461,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_9,KNN,0.9624 ± 0.0076,0.8245 ± 0.0527,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_9,MLP,0.9736 ± 0.0057,0.8651 ± 0.0499,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",
Dataset_9,RandomForest,0.9892 ± 0.0041,0.9085 ± 0.0524,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",
Dataset_9,SVM,0.9660 ± 0.0067,0.8520 ± 0.0433,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",
Dataset_10,DecisionTree,0.9405 ± 0.0060,0.4780 ± 0.0340,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_10,KNN,0.9346 ± 0.0048,0.4938 ± 0.0272,"{'n_neighbors': 5, 'weights': 'distance'}",
Dataset_10,MLP,0.9371 ± 0.0057,0.4909 ± 0.0319,"{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
Dataset_10,RandomForest,0.9477 ± 0.0056,0.5098 ± 0.0385,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_10,SVM,0.9339 ± 0.0063,0.4771 ± 0.0397,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",
Dataset_11,DecisionTree,0.8581 ± 0.0074,0.2257 ± 0.0260,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_11,KNN,0.8541 ± 0.0077,0.2118 ± 0.0211,"{'n_neighbors': 9, 'weights': 'distance'}",
Dataset_11,MLP,0.8504 ± 0.0086,0.2027 ± 0.0253,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",
Dataset_11,RandomForest,0.8609 ± 0.0079,0.2235 ± 0.0253,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_11,SVM,0.8562 ± 0.0071,0.2038 ± 0.0227,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_12,DecisionTree,0.8088 ± 0.0147,0.1215 ± 0.0110,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_12,KNN,0.8032 ± 0.0176,0.1080 ± 0.0179,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_12,MLP,0.8044 ± 0.0181,0.1102 ± 0.0150,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}",
Dataset_12,RandomForest,0.8139 ± 0.0147,0.1155 ± 0.0161,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_12,SVM,0.8121 ± 0.0170,0.1086 ± 0.0140,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",
Dataset_13,DecisionTree,0.9820 ± 0.0020,0.8619 ± 0.0304,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_13,KNN,0.9582 ± 0.0071,0.8475 ± 0.0437,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_13,MLP,0.9749 ± 0.0054,0.8755 ± 0.0189,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",
Dataset_13,RandomForest,0.9890 ± 0.0023,0.9149 ± 0.0322,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",
Dataset_13,SVM,0.9670 ± 0.0064,0.8624 ± 0.0323,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_14,DecisionTree,0.9804 ± 0.0037,0.8536 ± 0.0404,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_14,KNN,0.9582 ± 0.0071,0.8475 ± 0.0437,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_14,MLP,0.9744 ± 0.0069,0.8763 ± 0.0290,"{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",
Dataset_14,RandomForest,0.9887 ± 0.0022,0.9115 ± 0.0322,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",
Dataset_14,SVM,0.9670 ± 0.0064,0.8624 ± 0.0323,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",
Dataset_15,DecisionTree,0.9825 ± 0.0067,0.8638 ± 0.0444,"{'max_depth': 20, 'min_samples_split': 2}",
Dataset_15,KNN,0.9678 ± 0.0067,0.8402 ± 0.0430,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_15,MLP,0.9773 ± 0.0082,0.8768 ± 0.0379,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}",
Dataset_15,RandomForest,0.9893 ± 0.0062,0.9255 ± 0.0402,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",
Dataset_15,SVM,0.9687 ± 0.0062,0.8664 ± 0.0287,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",
Dataset_16,DecisionTree,0.9820 ± 0.0059,0.8554 ± 0.0392,"{'max_depth': None, 'min_samples_split': 2}",
Dataset_16,KNN,0.9678 ± 0.0067,0.8402 ± 0.0430,"{'n_neighbors': 3, 'weights': 'distance'}",
Dataset_16,MLP,0.9748 ± 0.0056,0.8624 ± 0.0421,"{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}",
Dataset_16,RandomForest,0.9884 ± 0.0060,0.9162 ± 0.0375,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",
Dataset_16,SVM,0.9687 ± 0.0062,0.8664 ± 0.0287,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",
