Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
2,0.8715,0.3924,0.8583,0.3123,0.8715,0.3928,0.8703,0.3911,0.8703,0.3856,20,"F35, F194, F146, F82, F104, F80, F87, F180, F7, F201, F20, F91, F16, F213, F252, F94, F251, F88, F206, F256","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
3,0.8788,0.4332,0.8860,0.4348,0.8800,0.4355,0.8800,0.4355,0.8800,0.4355,20,"F7, F146, F201, F104, F82, F80, F180, F94, F91, F213, F252, F35, F87, F251, F20, F102, F206, F88, F22, F186","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
4,0.8679,0.4580,0.8715,0.4061,0.8703,0.4694,0.8703,0.4694,0.8643,0.4585,20,"F7, F201, F146, F104, F80, F82, F247, F91, F252, F213, F35, F16, F88, F87, F20, F150, F251, F102, F206, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
5,0.8739,0.4310,0.8703,0.4157,0.8727,0.4285,0.8727,0.4285,0.8679,0.3970,20,"F201, F194, F146, F104, F82, F80, F87, F180, F7, F91, F20, F35, F16, F213, F252, F94, F251, F88, F22, F102","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.8776,0.4953,0.8776,0.4630,0.8788,0.4983,0.8788,0.4948,0.8788,0.4777,20,"F35, F46, F146, F82, F104, F80, F9, F180, F7, F22, F201, F252, F16, F213, F91, F20, F251, F150, F206, F102","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
7,0.8655,0.3743,0.8679,0.3519,0.8679,0.3614,0.8679,0.3614,0.8691,0.3354,20,"F35, F91, F7, F20, F104, F82, F80, F95, F180, F201, F252, F213, F16, F9, F22, F146, F150, F206, F88, F102","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
8,0.8655,0.3741,0.8655,0.3839,0.8655,0.3717,0.8655,0.3717,0.8643,0.3759,20,"F35, F194, F146, F104, F82, F80, F87, F241, F7, F201, F91, F252, F16, F94, F213, F251, F20, F88, F206, F102","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
9,0.8679,0.3191,0.8619,0.3172,0.8679,0.3357,0.8715,0.3575,0.8752,0.3516,20,"F35, F91, F7, F252, F104, F82, F247, F80, F201, F146, F213, F251, F16, F87, F150, F20, F88, F206, F102, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
10,0.8824,0.4338,0.8836,0.4479,0.8860,0.4308,0.8812,0.4340,0.8836,0.4632,20,"F35, F247, F213, F146, F104, F82, F80, F87, F91, F201, F252, F7, F16, F150, F20, F251, F102, F206, F186, F241","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
1,0.8776,0.4949,0.8715,0.4544,0.8764,0.4941,0.8752,0.4920,0.8764,0.4722,20,"F201, F194, F146, F104, F82, F80, F87, F241, F7, F91, F20, F35, F16, F94, F213, F252, F251, F88, F206, F102","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
2,0.8715,0.3924,0.8583,0.3123,0.8727,0.3954,0.8703,0.3911,0.8691,0.3721,20,"F35, F194, F146, F82, F104, F80, F87, F180, F7, F201, F20, F91, F16, F213, F252, F94, F251, F88, F206, F256","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
3,0.8788,0.4332,0.8860,0.4348,0.8800,0.4355,0.8800,0.4355,0.8788,0.4313,20,"F7, F146, F201, F104, F82, F80, F180, F94, F91, F213, F252, F35, F87, F251, F20, F102, F206, F88, F22, F186","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
4,0.8679,0.4580,0.8715,0.4061,0.8691,0.4659,0.8703,0.4694,0.8667,0.3916,20,"F7, F201, F146, F104, F80, F82, F247, F91, F252, F213, F35, F16, F88, F87, F20, F150, F251, F102, F206, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.8739,0.4310,0.8703,0.4157,0.8727,0.4285,0.8727,0.4285,0.8715,0.4398,20,"F201, F194, F146, F104, F82, F80, F87, F180, F7, F91, F20, F35, F16, F213, F252, F94, F251, F88, F22, F102","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
6,0.8776,0.4953,0.8776,0.4630,0.8788,0.4948,0.8788,0.4948,0.8739,0.4548,20,"F35, F46, F146, F82, F104, F80, F9, F180, F7, F22, F201, F252, F16, F213, F91, F20, F251, F150, F206, F102","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
7,0.8655,0.3743,0.8679,0.3519,0.8679,0.3614,0.8679,0.3617,0.8679,0.3823,20,"F35, F91, F7, F20, F104, F82, F80, F95, F180, F201, F252, F213, F16, F9, F22, F146, F150, F206, F88, F102","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
8,0.8655,0.3741,0.8655,0.3839,0.8655,0.3717,0.8643,0.3703,0.8655,0.3689,20,"F35, F194, F146, F104, F82, F80, F87, F241, F7, F201, F91, F252, F16, F94, F213, F251, F20, F88, F206, F102","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
9,0.8679,0.3191,0.8619,0.3172,0.8679,0.3357,0.8703,0.3566,0.8679,0.3113,20,"F35, F91, F7, F252, F104, F82, F247, F80, F201, F146, F213, F251, F16, F87, F150, F20, F88, F206, F102, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 5}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
10,0.8824,0.4338,0.8836,0.4479,0.8860,0.4308,0.8812,0.4244,0.8800,0.4478,20,"F35, F247, F213, F146, F104, F82, F80, F87, F91, F201, F252, F7, F16, F150, F20, F251, F102, F206, F186, F241","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
1,0.8643,0.4142,0.8643,0.4302,0.8631,0.4262,0.8631,0.4039,0.8667,0.3890,20,"F7, F146, F104, F82, F241, F80, F172, F251, F16, F47, F265, F252, F213, F9, F91, F150, F20, F85, F102, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
2,0.9100,0.3460,0.9100,0.3460,0.9112,0.3652,0.9100,0.3460,0.9100,0.3420,20,"F7, F146, F104, F80, F241, F82, F172, F251, F265, F16, F47, F91, F252, F213, F9, F150, F20, F102, F186, F119","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
3,0.8824,0.3993,0.8824,0.3997,0.8812,0.3974,0.8824,0.4027,0.8884,0.4353,20,"F7, F146, F104, F82, F241, F80, F253, F251, F16, F47, F91, F20, F213, F87, F172, F252, F102, F150, F186, F11","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
4,0.8800,0.4656,0.8800,0.4660,0.8800,0.4633,0.8800,0.4633,0.8715,0.4236,20,"F252, F114, F102, F104, F82, F241, F9, F175, F150, F146, F7, F16, F91, F80, F20, F213, F172, F251, F186, F265","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.8691,0.4062,0.8703,0.4140,0.8691,0.4049,0.8691,0.4049,0.8703,0.3960,20,"F7, F146, F104, F241, F80, F82, F172, F251, F265, F47, F252, F213, F87, F91, F150, F20, F102, F137, F186, F199","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
6,0.8812,0.3680,0.8824,0.3747,0.8800,0.3373,0.8800,0.3359,0.8788,0.3275,20,"F7, F146, F104, F241, F82, F80, F172, F251, F16, F265, F47, F91, F213, F252, F9, F150, F20, F102, F85, F186","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
7,0.8956,0.3696,0.8980,0.3648,0.8944,0.3503,0.8956,0.3579,0.8956,0.3648,20,"F7, F146, F104, F82, F80, F241, F253, F47, F251, F16, F265, F87, F20, F213, F91, F252, F172, F175, F150, F102","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
8,0.8884,0.4830,0.8860,0.4562,0.8884,0.4843,0.8884,0.4843,0.8956,0.5001,20,"F7, F146, F104, F241, F80, F82, F172, F251, F265, F16, F91, F252, F213, F94, F9, F20, F47, F102, F137, F186","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
9,0.8800,0.3783,0.8872,0.4137,0.8836,0.4104,0.8836,0.4178,0.8848,0.4050,20,"F7, F146, F104, F80, F241, F82, F47, F253, F251, F16, F265, F91, F252, F213, F87, F172, F20, F150, F102, F62","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
10,0.8752,0.4231,0.8776,0.4350,0.8739,0.4175,0.8739,0.4175,0.8776,0.4332,20,"F7, F146, F104, F82, F241, F80, F172, F265, F251, F16, F91, F252, F213, F47, F9, F150, F20, F102, F137, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
1,0.8643,0.4142,0.8643,0.4302,0.8631,0.4262,0.8643,0.4299,0.8667,0.4242,20,"F7, F146, F104, F82, F241, F80, F172, F251, F16, F47, F265, F252, F213, F9, F91, F150, F20, F85, F102, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
2,0.9100,0.3460,0.9100,0.3460,0.9112,0.3652,0.9100,0.3460,0.9100,0.3460,20,"F7, F146, F104, F80, F241, F82, F172, F251, F265, F16, F47, F91, F252, F213, F9, F150, F20, F102, F186, F119","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
3,0.8824,0.3993,0.8824,0.3997,0.8812,0.3974,0.8812,0.4025,0.8872,0.3984,20,"F7, F146, F104, F82, F241, F80, F253, F251, F16, F47, F91, F20, F213, F87, F172, F252, F102, F150, F186, F11","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
4,0.8800,0.4656,0.8800,0.4660,0.8800,0.4674,0.8800,0.4633,0.8739,0.4512,20,"F252, F114, F102, F104, F82, F241, F9, F175, F150, F146, F7, F16, F91, F80, F20, F213, F172, F251, F186, F265","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
5,0.8691,0.4062,0.8703,0.4140,0.8691,0.4049,0.8691,0.4049,0.8703,0.3960,20,"F7, F146, F104, F241, F80, F82, F172, F251, F265, F47, F252, F213, F87, F91, F150, F20, F102, F137, F186, F199","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
6,0.8812,0.3680,0.8824,0.3747,0.8800,0.3373,0.8800,0.3374,0.8812,0.3335,20,"F7, F146, F104, F241, F82, F80, F172, F251, F16, F265, F47, F91, F213, F252, F9, F150, F20, F102, F85, F186","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
7,0.8956,0.3696,0.8980,0.3648,0.8944,0.3503,0.8956,0.3579,0.8956,0.3580,20,"F7, F146, F104, F82, F80, F241, F253, F47, F251, F16, F265, F87, F20, F213, F91, F252, F172, F175, F150, F102","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
8,0.8884,0.4830,0.8860,0.4562,0.8884,0.4841,0.8896,0.4968,0.8860,0.4626,20,"F7, F146, F104, F241, F80, F82, F172, F251, F265, F16, F91, F252, F213, F94, F9, F20, F47, F102, F137, F186","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
9,0.8800,0.3783,0.8872,0.4137,0.8836,0.4104,0.8824,0.3901,0.8896,0.4294,20,"F7, F146, F104, F80, F241, F82, F47, F253, F251, F16, F265, F91, F252, F213, F87, F172, F20, F150, F102, F62","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
10,0.8752,0.4231,0.8776,0.4350,0.8739,0.4175,0.8752,0.4220,0.8788,0.4344,20,"F7, F146, F104, F82, F241, F80, F172, F265, F251, F16, F91, F252, F213, F47, F9, F150, F20, F102, F137, F186","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
1,0.9489,0.4559,0.9552,0.5765,0.9614,0.5696,0.9614,0.5689,0.9541,0.5820,13,"F18, F11, F13, F1, F20, F10, F14, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
2,0.9406,0.4880,0.9541,0.6217,0.9604,0.6546,0.9593,0.5711,0.9531,0.5916,13,"F18, F11, F13, F1, F20, F10, F14, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
3,0.9416,0.4756,0.9520,0.6201,0.9552,0.5511,0.9572,0.5715,0.9562,0.6080,13,"F18, F11, F13, F1, F14, F10, F20, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
4,0.9489,0.4981,0.9593,0.6085,0.9551,0.5418,0.9635,0.6186,0.9582,0.5393,13,"F18, F11, F13, F1, F20, F10, F14, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
5,0.9332,0.5119,0.9499,0.5749,0.9551,0.6351,0.9593,0.6554,0.9478,0.4696,13,"F18, F11, F13, F1, F14, F10, F20, F5, F17, F15, F12, F2, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
6,0.9603,0.5670,0.9603,0.6083,0.9708,0.5822,0.9718,0.6146,0.9614,0.5414,13,"F18, F11, F13, F1, F20, F10, F14, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
7,0.9468,0.4603,0.9593,0.6643,0.9593,0.6660,0.9572,0.5751,0.9541,0.4974,13,"F18, F11, F13, F1, F14, F10, F20, F5, F17, F15, F12, F2, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
8,0.9426,0.5273,0.9499,0.5744,0.9551,0.5881,0.9614,0.6483,0.9478,0.5758,13,"F18, F11, F13, F1, F14, F10, F20, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
9,0.9280,0.4432,0.9415,0.5278,0.9509,0.6041,0.9478,0.5588,0.9426,0.4657,13,"F18, F11, F13, F1, F14, F10, F20, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 10, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
10,0.9541,0.5415,0.9656,0.6459,0.9666,0.6565,0.9666,0.6579,0.9582,0.6162,13,"F18, F11, F13, F1, F20, F10, F14, F5, F17, F15, F12, F16, F2","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 10}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
1,0.8947,0.5333,0.8999,0.5782,0.9041,0.6077,0.9062,0.5718,0.9041,0.6065,13,"F1, F13, F18, F11, F5, F15, F10, F20, F14, F12, F2, F17, F16","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
2,0.8863,0.5268,0.8916,0.6030,0.8832,0.5619,0.9030,0.6352,0.8895,0.5228,13,"F1, F13, F18, F11, F5, F15, F10, F14, F20, F12, F2, F17, F16","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 3, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01}"
