Fold,SVM-Accuracy,SVM-F1,KNN-Accuracy,KNN-F1,DT-Accuracy,DT-F1,RF-Accuracy,RF-F1,MLP-Accuracy,MLP-F1,No. Selected Features,Features Name,FS/DS Parameters (SVM),FS/DS Parameters (KNN),FS/DS Parameters (DT),FS/DS Parameters (RF),FS/DS Parameters (MLP)
2,0.8836,0.3115,0.8848,0.3023,0.8824,0.3053,0.8860,0.3107,0.8860,0.3107,20,"F146, F46, F241, F104, F82, F226, F251, F150, F7, F252, F265, F175, F213, F20, F199, F206, F240, F102, F186, F97","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
3,0.8920,0.3873,0.8884,0.3652,0.8896,0.3697,0.8896,0.3685,0.8932,0.3844,20,"F146, F46, F51, F241, F104, F251, F226, F82, F7, F150, F252, F265, F213, F20, F206, F199, F47, F102, F137, F186","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
4,0.9052,0.3738,0.9004,0.3248,0.9052,0.3717,0.9052,0.3736,0.9064,0.3816,20,"F252, F102, F114, F241, F104, F82, F150, F175, F146, F7, F199, F213, F20, F251, F172, F240, F186, F200, F265, F97","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
5,0.8739,0.2656,0.8752,0.2523,0.8739,0.2846,0.8739,0.2650,0.8752,0.2880,20,"F146, F46, F241, F104, F82, F51, F226, F251, F150, F7, F252, F265, F213, F20, F199, F206, F47, F102, F137, F186","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
6,0.8788,0.3637,0.8800,0.3547,0.8788,0.3637,0.8752,0.3541,0.8764,0.3638,20,"F146, F172, F213, F241, F104, F82, F251, F47, F252, F7, F150, F265, F199, F20, F240, F102, F186, F97, F175, F40","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
7,0.8739,0.3518,0.8776,0.3315,0.8727,0.3487,0.8739,0.3516,0.8679,0.3135,20,"F146, F172, F213, F241, F104, F82, F265, F251, F199, F252, F7, F150, F47, F240, F20, F102, F186, F232, F40, F183","{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}","{'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001}"
8,0.8824,0.2919,0.8800,0.2289,0.8812,0.2900,0.8824,0.2914,0.8800,0.2729,20,"F146, F46, F241, F104, F82, F51, F251, F226, F7, F150, F252, F265, F213, F20, F199, F256, F206, F102, F175, F137","{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 10}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}","{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.001}"
9,0.8848,0.3716,0.8776,0.3493,0.8836,0.3653,0.8860,0.3770,0.8860,0.3791,20,"F252, F40, F241, F104, F82, F251, F47, F213, F150, F146, F265, F97, F7, F20, F199, F240, F102, F186, F183, F172","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 9, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.001}"
10,0.8836,0.3641,0.8788,0.3187,0.8848,0.3797,0.8836,0.3655,0.8788,0.3373,20,"F146, F172, F213, F241, F104, F251, F82, F47, F252, F7, F150, F175, F199, F20, F240, F102, F186, F232, F180, F40","{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 7, 'weights': 'distance'}","{'max_depth': None, 'min_samples_split': 2}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (50,), 'learning_rate_init': 0.01}"
1,0.8475,0.1322,0.8511,0.1538,0.8463,0.1278,0.8451,0.1218,0.8439,0.1171,20,"F146, F94, F18, F261, F199, F137, F256, F206, F7, F252, F82, F20, F265, F251, F47, F180, F186, F40, F150, F103","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}","{'n_neighbors': 5, 'weights': 'distance'}","{'max_depth': 20, 'min_samples_split': 5}","{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}","{'alpha': 0.001, 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.01}"
